word,translation
ENGLISH,ENGLISH
Admin,Admin
Address,Address
Airbnb active,Aktibo ang Airbnb
Airbnb Channel,Channel sa Airbnb
Airbnb import active,Aktibo ang import sa Airbnb
Airbnb import not active,Dili aktibo ang pag-import sa Airbnb
Action,Aksyon
Actions,Mga aksyon
Active,Aktibo
Export tools,Mga gamit sa pag-eksport
Alternative MyPOS gateway,Alternatibong MyPOS gateway
apartment,apartment
Apartments,Mga apartment
Auto rates,Mga bayranan sa awto
Automation,Automation
Client Database,Database sa Kliyente
Free hotel management system,Libre nga sistema sa pagdumala sa hotel
Free property management software,Libre nga software sa pagdumala sa kabtangan
Free property management system,Libre nga sistema sa pagdumala sa kabtangan
Free,Libre
Any special requests or comments,Bisan unsang espesyal nga hangyo o komento
Card nr,Kard nr
Fast status change,Dali nga pagbag-o sa kahimtang
CC,CC
Check in,Pag-check in
Check in time,Oras sa pag-check in
Check out,Tan-awa
Check our features,Susiha ang among mga bahin
All over the World,Tibuok Kalibutan
Guest price,Presyo sa bisita
City price map,Mapa sa presyo sa siyudad
Expense By Month,Gasto sa Buwan
Expense by type,Gasto pinaagi sa tipo
Clean,Limpyo
Cleanliness,Kalimpyo
Heared,Nakadungog
Cvv,Cvv
days,mga adlaw
Due date,Takdang petsa
CARD EXPIRY DATE,EXPIRY DATE NGA CARD
Dates,Mga petsa
"Dates changed, do you want to save & update availability","Nausab ang mga petsa, gusto ba nimo i-save ug i-update ang pagkaanaa"
Demo account,Demo account
Card details,Mga detalye sa kard
Booking details,Mga detalye sa pag-book
Company details,Mga detalye sa kompanya
Detailed accounting calendar,Detalyado nga kalendaryo sa accounting
Direct bookings,Direkta nga mga booking
Direct booking site,Direkta nga booking site
Direct link,Direkta nga link
Direct discount,Direkta nga diskwento
Children,Mga bata
Daily,Adlaw-adlaw
Add company details,Idugang ang mga detalye sa kompanya
Adding iframe to your page,Pagdugang iframe sa imong panid
Add new service,Pagdugang bag-ong serbisyo
Add listing,Idugang ang listahan
Add accounting,Idugang ang accounting
Add booking,Idugang ang booking
Add only for foreigner,Idugang lang para sa langyaw
Add only for local,Idugang lamang para sa lokal
Add only for certain guest quantity,Idugang lamang alang sa piho nga gidaghanon sa bisita
Add always,Idugang kanunay
Add task,Idugang ang buluhaton
Extra rates,Dugang rates
Additional services do not exist,Wala nay dugang nga mga serbisyo
Additional services exist,Adunay dugang nga mga serbisyo
Additional managers do not exist,Ang dugang nga mga manedyer wala maglungtad
Additional managers exist,Adunay dugang nga mga manedyer
Additional,Dugang
Arrivals,Mga pag-abot
Arrival,Pag-abot
Availability rates calendar,Kalendaryo sa mga rate sa pagkaanaa
Availability,Anaa
Availability & rates,Availability & rates
Country,Nasud
Debtor,Utang
Approval email directly after booking,Direkta nga pag-apruba sa email pagkahuman sa pag-book
Emails,Mga email
Email,Email
Email,Email
Email / SMS,Email / SMS
Email info,Impormasyon sa email
Emails settings,Mga setting sa email
Emails signature,Mga pirma sa email
Expedia Channel,Channel sa Expedia
Filter,Pagsala
Focus,Pagtutok
Annually,Matag tuig
Guest,Bisita
Guests,Mga bisita
Done,Nahuman na
Done ready to go,Nahuman ug andam na
"Done, ready to go","Tapos na, andam na"
City,Dakbayan
Charts,Mga tsart
Error,Sayop
Errors,Mga sayop
Group,Grupo
Hostel,Hostel
Hostname,Hostname
Hotel,Hotel
5 Star Hotels,5 Star nga mga Hotel
Hotels,Mga hotel
hotels,mga hotel
Have an idea,Adunay usa ka ideya
Name,Ngalan
Guest Name,Ngalan sa Bisita
Location info,Impormasyon sa lokasyon
Fill in your property data,Pun-a ang imong datos sa kabtangan
Fill your contact data,Pun-a ang imong data sa kontak
Created,Gibuhat
Exception,Eksepsiyon
Exceptions,Mga eksepsiyon
Exceptional,Talagsaon
Export,Export
